"编号","开始答题时间","结束答题时间","答题时长","自定义字段","1.性别","2.年龄","3.工作经验","4.行业背景","4.行业背景[选项填空]","5.工作部门","5.工作部门[选项填空]","6.目前工作是否与数据分析相关","7.数据分析过程中遇到的瓶颈","7.数据分析过程中遇到的瓶颈[选项填空]","8.期待得到提升的数据分析技术方向:数据库","8.期待得到提升的数据分析技术方向:ETL","8.期待得到提升的数据分析技术方向:可视化","8.期待得到提升的数据分析技术方向:数据挖掘","8.期待得到提升的数据分析技术方向:Excel基础","8.期待得到提升的数据分析技术方向:其他____","8.期待得到提升的数据分析技术方向:其他____[选项填空]","9.认识-工作簿/工作表/区域/单元格","10.筛选与排序","11.冻结窗口","12.条件格式","13.数据分列","14.保护工作表结构","15.加减乘除","16.Vlookup函数","17.帮助功能","18.绝对引用/相对引用","19.函数嵌套","20.名称管理器","21.柱状图/折线图","22.趋势线","23.组合图","24.主次坐标","25.漏斗图","26.仪表盘","27.插入透视表","28.行/列/筛选","29.计算切换","30.切片器","31.数据透视图","32.布局调整",
"27","09-Sep-2019 22:10:50","09-Sep-2019 22:13:24","154","","A.男","E.40以上","E.10年以上","G.其他","","G.其他","教师","A.是","B.有业务思维，但不懂如何实现","","A.数据库","B.ETL","C.可视化","D.数据挖掘","","","","A.Yes","A.Yes","A.Yes","A.Yes","A.Yes","B.No","A.Yes","A.Yes","A.Yes","A.Yes","A.Yes","A.Yes","A.Yes","A.Yes","B.No","A.Yes","B.No","B.No","A.Yes","A.Yes","A.Yes","B.No","B.No","B.No",
"28","09-Sep-2019 22:11:09","09-Sep-2019 22:13:25","136","","B.女","C.25-30(包含25)","D.5-10年","A.待就业","","E.后勤","","B.否","A.小白，什么都不懂","","A.数据库","B.ETL","C.可视化","D.数据挖掘","E.Excel基础","F.其他","数据分析","A.Yes","A.Yes","A.Yes","A.Yes","A.Yes","A.Yes","A.Yes","A.Yes","B.No","A.Yes","A.Yes","A.Yes","A.Yes","A.Yes","A.Yes","A.Yes","B.No","B.No","A.Yes","A.Yes","A.Yes","B.No","A.Yes","A.Yes",
"29","09-Sep-2019 22:10:48","09-Sep-2019 22:13:28","160","","A.男","C.25-30(包含25)","D.5-10年","E.制造业","","B.IT","","A.是","B.有业务思维，但不懂如何实现","","","","C.可视化","D.数据挖掘","","","","A.Yes","A.Yes","A.Yes","A.Yes","A.Yes","A.Yes","A.Yes","A.Yes","B.No","A.Yes","A.Yes","B.No","A.Yes","A.Yes","B.No","A.Yes","B.No","B.No","B.No","A.Yes","A.Yes","B.No","B.No","B.No",
"30","09-Sep-2019 22:12:09","09-Sep-2019 22:13:28","79","","B.女","B.18-25(包含18)","A.刚毕业","A.待就业","","C.财务","","B.否","C.有技术基础，欠缺业务思维逻辑","","A.数据库","B.ETL","C.可视化","D.数据挖掘","","","","A.Yes","A.Yes","A.Yes","A.Yes","A.Yes","B.No","A.Yes","A.Yes","A.Yes","A.Yes","A.Yes","B.No","A.Yes","A.Yes","A.Yes","A.Yes","B.No","B.No","A.Yes","A.Yes","A.Yes","B.No","A.Yes","B.No",
"31","09-Sep-2019 22:10:55","09-Sep-2019 22:13:49","174","","B.女","D.30-40(包含30)","D.5-10年","G.其他","能源","G.其他","","A.是","B.有业务思维，但不懂如何实现","","A.数据库","B.ETL","","D.数据挖掘","","","","A.Yes","A.Yes","A.Yes","A.Yes","A.Yes","B.No","A.Yes","A.Yes","A.Yes","B.No","B.No","B.No","A.Yes","B.No","B.No","B.No","B.No","B.No","B.No","A.Yes","B.No","B.No","B.No","B.No",
"32","09-Sep-2019 22:12:36","09-Sep-2019 22:14:07","91","","B.女","D.30-40(包含30)","D.5-10年","B.金融","","C.财务","","A.是","D.技术和业务都略懂，期望得到进一步提升","","A.数据库","B.ETL","C.可视化","D.数据挖掘","","","","A.Yes","A.Yes","A.Yes","A.Yes","A.Yes","A.Yes","A.Yes","A.Yes","A.Yes","A.Yes","A.Yes","B.No","A.Yes","A.Yes","A.Yes","A.Yes","B.No","B.No","A.Yes","A.Yes","A.Yes","B.No","A.Yes","B.No",
"33","09-Sep-2019 22:12:30","09-Sep-2019 22:14:18","108","","B.女","C.25-30(包含25)","C.3-5年","C.互联网","","B.IT","","A.是","D.技术和业务都略懂，期望得到进一步提升","","A.数据库","B.ETL","","D.数据挖掘","","","","A.Yes","A.Yes","A.Yes","A.Yes","B.No","B.No","A.Yes","B.No","B.No","B.No","B.No","B.No","A.Yes","A.Yes","B.No","A.Yes","B.No","B.No","A.Yes","A.Yes","B.No","B.No","B.No","B.No",
"34","09-Sep-2019 22:12:08","09-Sep-2019 22:14:22","134","","A.男","D.30-40(包含30)","D.5-10年","G.其他","零售超市","B.IT","","A.是","D.技术和业务都略懂，期望得到进一步提升","","","B.ETL","C.可视化","D.数据挖掘","","","","A.Yes","A.Yes","A.Yes","B.No","A.Yes","A.Yes","A.Yes","A.Yes","B.No","A.Yes","A.Yes","B.No","A.Yes","B.No","A.Yes","A.Yes","B.No","B.No","A.Yes","A.Yes","B.No","A.Yes","A.Yes","A.Yes",
"35","09-Sep-2019 22:13:06","09-Sep-2019 22:14:33","87","","B.女","C.25-30(包含25)","C.3-5年","C.互联网","","A.运营","","A.是","B.有业务思维，但不懂如何实现","","A.数据库","B.ETL","C.可视化","D.数据挖掘","E.Excel基础","F.其他","","A.Yes","A.Yes","A.Yes","A.Yes","A.Yes","A.Yes","A.Yes","A.Yes","A.Yes","A.Yes","A.Yes","B.No","A.Yes","B.No","A.Yes","A.Yes","B.No","B.No","A.Yes","A.Yes","B.No","B.No","A.Yes","A.Yes",
"36","09-Sep-2019 22:10:52","09-Sep-2019 22:14:37","225","","A.男","D.30-40(包含30)","D.5-10年","C.互联网","","G.其他","销售","B.否","A.小白，什么都不懂","","A.数据库","B.ETL","","D.数据挖掘","","F.其他","python","A.Yes","A.Yes","B.No","A.Yes","A.Yes","B.No","A.Yes","A.Yes","B.No","A.Yes","B.No","B.No","A.Yes","A.Yes","A.Yes","A.Yes","B.No","A.Yes","A.Yes","A.Yes","B.No","A.Yes","A.Yes","B.No",
"37","09-Sep-2019 22:11:10","09-Sep-2019 22:14:50","220","","B.女","C.25-30(包含25)","C.3-5年","F.自由职业者","","G.其他","","B.否","D.技术和业务都略懂，期望得到进一步提升","","A.数据库","B.ETL","C.可视化","D.数据挖掘","","","","A.Yes","A.Yes","A.Yes","A.Yes","A.Yes","A.Yes","A.Yes","A.Yes","A.Yes","A.Yes","B.No","B.No","A.Yes","B.No","A.Yes","A.Yes","B.No","B.No","A.Yes","A.Yes","A.Yes","B.No","B.No","B.No",
"38","09-Sep-2019 22:13:27","09-Sep-2019 22:15:12","105","","B.女","D.30-40(包含30)","E.10年以上","B.金融","","A.运营","","A.是","D.技术和业务都略懂，期望得到进一步提升","","","B.ETL","","D.数据挖掘","","","","A.Yes","A.Yes","A.Yes","A.Yes","A.Yes","A.Yes","A.Yes","A.Yes","A.Yes","A.Yes","A.Yes","A.Yes","A.Yes","A.Yes","A.Yes","A.Yes","A.Yes","A.Yes","A.Yes","A.Yes","A.Yes","A.Yes","A.Yes","A.Yes",
"39","09-Sep-2019 22:11:53","09-Sep-2019 22:15:16","203","","A.男","B.18-25(包含18)","B.1-3年","G.其他","交通","E.后勤","","B.否","A.小白，什么都不懂","","A.数据库","B.ETL","C.可视化","D.数据挖掘","E.Excel基础","","","A.Yes","A.Yes","B.No","B.No","A.Yes","B.No","A.Yes","B.No","B.No","B.No","B.No","B.No","A.Yes","A.Yes","B.No","A.Yes","A.Yes","B.No","A.Yes","B.No","A.Yes","B.No","B.No","B.No",
"40","09-Sep-2019 22:12:32","09-Sep-2019 22:15:54","202","","A.男","B.18-25(包含18)","B.1-3年","C.互联网","","A.运营","","A.是","B.有业务思维，但不懂如何实现","","A.数据库","B.ETL","C.可视化","D.数据挖掘","E.Excel基础","","","A.Yes","A.Yes","A.Yes","A.Yes","B.No","B.No","A.Yes","A.Yes","B.No","B.No","B.No","B.No","A.Yes","A.Yes","A.Yes","A.Yes","B.No","B.No","A.Yes","A.Yes","A.Yes","B.No","B.No","B.No",
"41","09-Sep-2019 22:13:22","09-Sep-2019 22:15:58","156","","A.男","B.18-25(包含18)","B.1-3年","C.互联网","","B.IT","","A.是","B.有业务思维，但不懂如何实现","","A.数据库","B.ETL","C.可视化","D.数据挖掘","E.Excel基础","","","A.Yes","B.No","A.Yes","B.No","B.No","B.No","A.Yes","B.No","B.No","B.No","B.No","B.No","A.Yes","B.No","B.No","A.Yes","B.No","B.No","B.No","B.No","B.No","B.No","B.No","B.No",
"42","09-Sep-2019 22:13:02","09-Sep-2019 22:16:09","187","","B.女","C.25-30(包含25)","A.刚毕业","E.制造业","","G.其他","技术","B.否","A.小白，什么都不懂","","A.数据库","B.ETL","C.可视化","D.数据挖掘","","","","A.Yes","A.Yes","B.No","A.Yes","A.Yes","B.No","A.Yes","B.No","B.No","A.Yes","B.No","B.No","A.Yes","A.Yes","A.Yes","A.Yes","A.Yes","B.No","A.Yes","A.Yes","A.Yes","A.Yes","A.Yes","B.No",
"43","09-Sep-2019 22:14:40","09-Sep-2019 22:18:42","242","","A.男","C.25-30(包含25)","C.3-5年","E.制造业","","G.其他","","B.否","E.其他","刚入门，各方面有了解，但还需要深入","A.数据库","B.ETL","","D.数据挖掘","","","","A.Yes","A.Yes","A.Yes","A.Yes","A.Yes","A.Yes","A.Yes","A.Yes","A.Yes","A.Yes","A.Yes","A.Yes","A.Yes","B.No","A.Yes","A.Yes","B.No","B.No","A.Yes","A.Yes","A.Yes","A.Yes","A.Yes","A.Yes",
"44","09-Sep-2019 22:18:52","09-Sep-2019 22:20:29","97","","B.女","D.30-40(包含30)","B.1-3年","C.互联网","","A.运营","","A.是","D.技术和业务都略懂，期望得到进一步提升","","","","","D.数据挖掘","","","","A.Yes","A.Yes","A.Yes","B.No","B.No","B.No","A.Yes","A.Yes","B.No","B.No","A.Yes","B.No","A.Yes","A.Yes","A.Yes","A.Yes","B.No","A.Yes","A.Yes","A.Yes","B.No","B.No","A.Yes","B.No",
"45","09-Sep-2019 22:13:25","09-Sep-2019 22:20:33","428","","B.女","C.25-30(包含25)","C.3-5年","G.其他","传统科技公司","G.其他","数据","A.是","D.技术和业务都略懂，期望得到进一步提升","","A.数据库","","C.可视化","D.数据挖掘","E.Excel基础","","","A.Yes","A.Yes","A.Yes","A.Yes","A.Yes","B.No","A.Yes","A.Yes","A.Yes","A.Yes","A.Yes","B.No","A.Yes","A.Yes","A.Yes","A.Yes","A.Yes","B.No","A.Yes","A.Yes","A.Yes","A.Yes","A.Yes","B.No",
"46","09-Sep-2019 22:19:05","09-Sep-2019 22:22:23","198","","B.女","D.30-40(包含30)","E.10年以上","B.金融","","G.其他","风控","A.是","B.有业务思维，但不懂如何实现","","A.数据库","B.ETL","C.可视化","D.数据挖掘","E.Excel基础","","","A.Yes","A.Yes","A.Yes","A.Yes","A.Yes","B.No","A.Yes","A.Yes","A.Yes","A.Yes","B.No","B.No","A.Yes","B.No","B.No","A.Yes","B.No","B.No","A.Yes","A.Yes","B.No","B.No","A.Yes","B.No",
"47","09-Sep-2019 22:22:17","09-Sep-2019 22:23:58","101","","A.男","C.25-30(包含25)","D.5-10年","E.制造业","","G.其他","试验","B.否","A.小白，什么都不懂","","A.数据库","","","","","","","A.Yes","A.Yes","A.Yes","A.Yes","A.Yes","B.No","A.Yes","B.No","A.Yes","A.Yes","A.Yes","B.No","A.Yes","A.Yes","A.Yes","A.Yes","A.Yes","B.No","B.No","A.Yes","A.Yes","B.No","B.No","B.No",
"48","09-Sep-2019 22:23:36","09-Sep-2019 22:25:05","89","","A.男","B.18-25(包含18)","B.1-3年","C.互联网","","G.其他","本地化","B.否","A.小白，什么都不懂","","A.数据库","B.ETL","C.可视化","D.数据挖掘","E.Excel基础","","","A.Yes","A.Yes","A.Yes","A.Yes","A.Yes","A.Yes","A.Yes","A.Yes","A.Yes","B.No","A.Yes","A.Yes","A.Yes","A.Yes","B.No","A.Yes","B.No","B.No","A.Yes","A.Yes","A.Yes","B.No","A.Yes","B.No",
"49","09-Sep-2019 22:18:58","09-Sep-2019 22:29:19","621","","B.女","B.18-25(包含18)","B.1-3年","B.金融","","E.后勤","","B.否","A.小白，什么都不懂","","","","","D.数据挖掘","","","","A.Yes","A.Yes","B.No","A.Yes","A.Yes","B.No","A.Yes","A.Yes","B.No","B.No","B.No","B.No","A.Yes","A.Yes","A.Yes","B.No","B.No","B.No","A.Yes","A.Yes","B.No","B.No","B.No","B.No",
"50","09-Sep-2019 22:26:20","09-Sep-2019 22:30:03","223","","B.女","B.18-25(包含18)","B.1-3年","C.互联网","","G.其他","数据中心","A.是","D.技术和业务都略懂，期望得到进一步提升","","A.数据库","B.ETL","C.可视化","D.数据挖掘","E.Excel基础","F.其他","深度学习","A.Yes","A.Yes","A.Yes","A.Yes","A.Yes","B.No","A.Yes","A.Yes","A.Yes","A.Yes","A.Yes","A.Yes","A.Yes","A.Yes","A.Yes","A.Yes","A.Yes","A.Yes","A.Yes","A.Yes","A.Yes","B.No","A.Yes","B.No",
"51","09-Sep-2019 23:17:01","09-Sep-2019 23:19:56","175","","B.女","C.25-30(包含25)","C.3-5年","C.互联网","","A.运营","","A.是","D.技术和业务都略懂，期望得到进一步提升","","A.数据库","B.ETL","C.可视化","","","","","A.Yes","A.Yes","A.Yes","A.Yes","A.Yes","A.Yes","A.Yes","B.No","A.Yes","B.No","A.Yes","B.No","A.Yes","A.Yes","A.Yes","A.Yes","A.Yes","A.Yes","A.Yes","A.Yes","A.Yes","B.No","A.Yes","A.Yes",
"52","10-Sep-2019 07:27:49","10-Sep-2019 07:30:24","155","","A.男","C.25-30(包含25)","C.3-5年","C.互联网","","B.IT","","A.是","D.技术和业务都略懂，期望得到进一步提升","","A.数据库","B.ETL","","D.数据挖掘","","","","A.Yes","A.Yes","A.Yes","A.Yes","B.No","B.No","A.Yes","A.Yes","B.No","B.No","B.No","B.No","A.Yes","B.No","A.Yes","B.No","A.Yes","A.Yes","B.No","B.No","B.No","B.No","B.No","B.No",
"53","10-Sep-2019 09:16:31","10-Sep-2019 09:18:40","129","","A.男","D.30-40(包含30)","D.5-10年","C.互联网","","B.IT","","B.否","A.小白，什么都不懂","","A.数据库","B.ETL","C.可视化","D.数据挖掘","E.Excel基础","","","A.Yes","A.Yes","B.No","B.No","B.No","B.No","A.Yes","A.Yes","B.No","B.No","B.No","B.No","A.Yes","A.Yes","B.No","A.Yes","B.No","B.No","B.No","B.No","B.No","B.No","B.No","B.No",
"54","10-Sep-2019 11:04:07","10-Sep-2019 11:05:44","97","","B.女","D.30-40(包含30)","D.5-10年","G.其他","商场工作","A.运营","","B.否","A.小白，什么都不懂","","A.数据库","B.ETL","C.可视化","D.数据挖掘","E.Excel基础","","","A.Yes","A.Yes","A.Yes","B.No","B.No","B.No","A.Yes","B.No","B.No","A.Yes","B.No","B.No","A.Yes","A.Yes","B.No","B.No","B.No","B.No","B.No","A.Yes","B.No","B.No","B.No","B.No",
"55","10-Sep-2019 19:37:10","10-Sep-2019 19:39:14","124","","B.女","C.25-30(包含25)","C.3-5年","B.金融","","A.运营","","B.否","A.小白，什么都不懂","","A.数据库","","C.可视化","","E.Excel基础","","","A.Yes","A.Yes","A.Yes","A.Yes","A.Yes","A.Yes","B.No","B.No","A.Yes","A.Yes","B.No","B.No","A.Yes","B.No","A.Yes","A.Yes","B.No","B.No","A.Yes","A.Yes","B.No","B.No","B.No","B.No",
